Date update,Child sObject,Child field,Child value,Parent sObject,Parent field,Parent value,Error
2022-05-19  16:32:35.012,Case,SuppliedName,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,SuppliedEmail,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,SuppliedPhone,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,SuppliedCompany,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,Type,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,Status,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,Reason,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.012,Case,Origin,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,Subject,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,Priority,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,IsEscalated,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,CurrencyIsoCode,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,SlaStartDate,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,Comments,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,EngineeringReqNumber__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,SLAViolation__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,Product__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,PotentialLiability__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
2022-05-19  16:32:35.013,Case,SLA_Level__c,,,,,COLUMN DEFINED IN THE SCRIPT IS MISSING IN THE CSV FILE
